det,des,id,img_idx,ttc_lidar,ttc_camera,ttc_diff
FAST,BRISK,0,1,12.5156,12.5036,0.0119557
FAST,BRISK,1,2,12.6142,12.4972,0.117055
FAST,BRISK,2,3,14.091,13.7667,0.324321
FAST,BRISK,3,4,16.6894,12.8857,3.80372
FAST,BRISK,4,5,15.7465,-inf,inf
FAST,BRISK,5,6,12.7835,14.0835,-1.30002
FAST,BRISK,6,7,11.9844,12.3866,-0.402245
FAST,BRISK,7,8,13.1241,11.342,1.78211
FAST,BRISK,8,9,13.0241,11.8969,1.12722
FAST,BRISK,9,10,11.1746,13.8902,-2.71559
FAST,BRISK,10,11,12.8086,12.2696,0.538995
FAST,BRISK,11,12,8.95978,11.6041,-2.64432
FAST,BRISK,12,13,9.96439,11.9241,-1.95966
FAST,BRISK,13,14,9.59863,12.2391,-2.64047
FAST,BRISK,14,15,8.52157,11.4845,-2.96291
FAST,BRISK,15,16,9.51552,13.9142,-4.3987
FAST,BRISK,16,17,9.61241,9.97203,-0.359618
FAST,BRISK,17,18,8.3988,31.8626,-23.4638
FAST,BRIEF,18,1,12.5156,11.199,1.31663
FAST,BRIEF,19,2,12.6142,12.4757,0.138553
FAST,BRIEF,20,3,14.091,14.8112,-0.720204
FAST,BRIEF,21,4,16.6894,14.1065,2.58286
FAST,BRIEF,22,5,15.7465,36.895,-21.1484
FAST,BRIEF,23,6,12.7835,13.5704,-0.786925
FAST,BRIEF,24,7,11.9844,11.6915,0.292811
FAST,BRIEF,25,8,13.1241,11.3522,1.77192
FAST,BRIEF,26,9,13.0241,11.6049,1.41918
FAST,BRIEF,27,10,11.1746,13.1983,-2.02368
FAST,BRIEF,28,11,12.8086,13.5019,-0.69329
FAST,BRIEF,29,12,8.95978,12.8008,-3.841
FAST,BRIEF,30,13,9.96439,12.273,-2.30858
FAST,BRIEF,31,14,9.59863,11.7063,-2.10766
FAST,BRIEF,32,15,8.52157,12.24,-3.71843
FAST,BRIEF,33,16,9.51552,12.11,-2.59445
FAST,BRIEF,34,17,9.61241,11.0958,-1.4834
FAST,BRIEF,35,18,8.3988,9.22816,-0.829352
FAST,ORB,36,1,12.5156,10.8113,1.70433
FAST,ORB,37,2,12.6142,12.0075,0.606776
FAST,ORB,38,3,14.091,13.2483,0.842757
FAST,ORB,39,4,16.6894,13.33,3.35938
FAST,ORB,40,5,15.7465,17.9983,-2.25178
FAST,ORB,41,6,12.7835,13.3709,-0.587395
FAST,ORB,42,7,11.9844,11.6181,0.366283
FAST,ORB,43,8,13.1241,12.0558,1.06834
FAST,ORB,44,9,13.0241,11.7264,1.29768
